"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Julián Araujo","https://www.transfermarkt.com/julian-araujo/profil/spieler/513970","Right-Back","22","Mexico","UD Las Palmas","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Pablo Torre","https://www.transfermarkt.com/pablo-torre/profil/spieler/720038","Attacking Midfield","21","Spain","Girona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",55,14,4,421
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Álex Valle","https://www.transfermarkt.com/alex-valle/profil/spieler/709957","Left-Back","20","Spain","Levante","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",2,0,0,0
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Estanis Pedrola","https://www.transfermarkt.com/estanis-pedrola/profil/spieler/913539","Left Winger","20","Spain","Sampdoria","Serie B","Italy",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Wojciech Szczesny","https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058","Goalkeeper","34","Poland",NA,NA,NA,NA,FALSE,"-","Winter",48,30,0,2726
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Vitor Roque","https://www.transfermarkt.com/vitor-roque/profil/spieler/943837","Centre-Forward","19","Brazil","Real Betis","LaLiga","Spain",NA,TRUE,"End of loan 27/02/2025","Winter",NA,NA,NA,NA
"FC Barcelona","LaLiga","Spain","2024","Arrivals","Álex Valle","https://www.transfermarkt.com/alex-valle/profil/spieler/709957","Left-Back","20","Spain","Celtic","Premiership","Scotland",NA,TRUE,"End of loan 28/01/2025","Winter",2,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Julián Alvarez","https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024","Centre-Forward","24","Argentina","Man City","Premier League","England",7.5e+07,FALSE,NA,"Summer",57,57,29,3967
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Conor Gallagher","https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362","Central Midfield","24","England","Chelsea","Premier League","England",4.2e+07,FALSE,NA,"Summer",57,50,4,2544
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Robin Le Normand","https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809","Centre-Back","27","Spain","Real Sociedad","LaLiga","Spain",34500000,FALSE,NA,"Summer",45,40,1,3022
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Alexander Sørloth","https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407","Centre-Forward","28","Norway","Villarreal","LaLiga","Spain",3.2e+07,FALSE,NA,"Summer",56,53,24,2314
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Clément Lenglet","https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904","Centre-Back","29","France","Barcelona","LaLiga","Spain",3e+06,TRUE,NA,"Summer",50,36,3,3044
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Juan Musso","https://www.transfermarkt.com/juan-musso/profil/spieler/242359","Goalkeeper","30","Argentina","Atalanta","Serie A","Italy",1500000,TRUE,NA,"Summer",56,9,0,810
